proposedMethodId,proposedMethodKey,comparatorMethodId,comparatorMethodKey,metric,unit,scope,differenceDefinition,proposedEstimate,comparatorEstimate,pairedDifference,confidenceLower,confidenceUpper,pairedScenarioCount,bootstrapReplicates,freezeManifestSha256
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,success_fraction,fraction,overall,Conditioned Riemannian minus comparator,0.2773814484126984,0.2738184523809524,0.0035629960317459797,-0.027446924603174605,0.035075892857142854,290,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,pre_correction_overlap_exposure,pair-s per agent-s,overall,Conditioned Riemannian minus comparator,0.6235434840029761,0.6332619353505289,-0.009718451347552781,-0.0318284011243386,0.012044535590277627,290,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,maximum_pre_correction_penetration,m,overall,Conditioned Riemannian minus comparator,0.05728378639842796,0.07431954600889815,-0.017035759610470186,-0.019686822728965922,-0.014048093816763488,290,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,normalized_travel_time,ratio conditional on success,overall,Conditioned Riemannian minus comparator,1.496785546940881,1.4451392444438633,0.05164630249701774,0.023949347452111525,0.08801147128320452,254,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,path_ratio,path length / straight-line distance,overall,Conditioned Riemannian minus comparator,0.967598165269069,0.9608856725971852,0.006712492671883896,0.004831909705969917,0.008494866374505028,254,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,rms_acceleration,m/s^2,overall,Conditioned Riemannian minus comparator,2.7922436990767885,4.30329595731733,-1.5110522582405412,-1.595768270617472,-1.4552788778241768,290,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,rms_jerk,m/s^3,overall,Conditioned Riemannian minus comparator,194.61307769915254,322.30946490095823,-127.69638720180569,-134.50975666211335,-121.86533708919649,290,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,correction_ratio,ratio,overall,Conditioned Riemannian minus comparator,0.8298402274298522,0.8443664390937509,-0.01452621166389867,-0.053139112511880415,0.07613234794879853,290,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,throughput,agents/s,bottleneck,Conditioned Riemannian minus comparator,0.18416666666666665,0.19333333333333333,-0.009166666666666684,-0.03750000000000003,0.019166666666666582,30,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,avoidance_onset_rate,fraction,pairwise,Conditioned Riemannian minus comparator,0.525,0,0.525,0.51,0.54,200,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
